business_id
29790,0
31334,81
32112,7
32114,70
32140,77
32339,52
32358,16
32384,10
32531,5
32534,20
32535,53
32536,21
32537,11
32553,68
32564,101
64978,11
64982,12
65005,25
65058,24
65088,20
65089,46
65168,44
65180,21
65211,91
65215,10
65217,132
65319,2
65323,54
65555,16
65675,73
65772,48
65773,15
65774,22
66108,72
66114,17
66115,2
66116,12
66126,20
66130,98
66139,34
66314,39
66320,19
66407,21
66448,17
66464,71
66465,19
66613,36
66615,12
66618,30
66682,26
66687,16
66690,15
66693,3
66736,27
66738,6
66741,12
66831,81
66833,18
66858,17
66871,12
66873,29
67018,38
67020,20
67023,5
67024,9
67025,16
67026,9
67027,41
67031,27
67309,35
67319,30
67329,29
67334,60
67336,6
67341,45
67343,43
67435,69
67437,31
67845,27
67846,49
67850,6
67851,15
68063,47
68100,11
68285,3
68286,37
68301,23
68306,52
68438,57
68467,9
68545,6
68546,31
68548,24
68549,27
68550,47
68592,28
68596,41
68656,4
68661,31
68711,24
68713,17
68725,37
69071,18
69072,27
69082,20
69236,27
69245,9
69329,9
69467,50
69470,50
69478,37
69480,16
69483,8
69762,33
69764,4
69770,40
69809,73
69814,71
69999,62
70005,25
70057,22
70155,31
70164,45
70333,40
70433,31
70508,9
70559,31
70591,57
70592,9
70643,34
70710,45
70722,54
70742,36
70910,31
70911,29
70916,17
71011,18
71030,11
71031,56
71102,36
71106,30
71263,29
71269,42
71270,13
71271,7
71300,60
71302,64
71307,1
71308,62
71328,2
71377,5
71383,66
71450,31
71704,40
71712,53
71713,17
71714,20
71722,28
71813,5
71818,42
71826,9
71980,36
71981,3
71986,21
72123,32
72216,41
72218,21
72220,2
72225,37
72420,65
72441,44
72496,7
72626,107
72632,12
72637,22
72739,52
72741,25
72775,25
72776,10
72891,16
72894,10
72900,42
72901,25
72902,50
72904,32
72909,51
73000,36
73396,16
73595,11
73598,24
73599,29
73600,17
73644,9
73647,18
73985,37
73987,26
73996,36
74005,16
74006,23
74011,28
74260,81
74263,22
74265,35
74391,10
